授業科目名,担当教員,役職,単位数,必修・選択・自由,開講年次,開講学期,実務経験,備考,シラバスURL
国際関係史（朝鮮半島）Ⅰ,金 栄鎬,教授,2,選択,3年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C3001.html
国際関係史（朝鮮半島）Ⅱ,金 栄鎬,教授,2,選択,3年次以上,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C3101.html
国際関係論,吉田 晴彦,教授,2,選択,1年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114C0101.html
地域再生論,金谷 信子,教授,2,選択,2年生以上,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114D3601.html
地域再生論入門,平尾 順平,准教授,2,選択,１・２年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00111501.html
地域実践演習,森永 昌司,教授,1,選択,芸術学部３年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30315201.html
地域機構と平和・安全保障,加藤 美保子,講師,2,選択,修士課程１・２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_81320301.html
地域研究入門,田浪 亜央江,准教授,2,選択,1年,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A0201.html
地域研究演習Ⅰ（American Literature and Culture）,ゴーマン マイケル,教授,2,選択,PhD candidates,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222D301.html
地域研究演習Ⅰ（アフリカ社会）,田川 玄,教授,2,選択,博士後期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222B901.html
地域研究演習Ⅰ（フランスの文学と文化）,大場 静枝,教授,2,選択,博士後期課程１、２、３年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222E201.html
地域研究演習Ⅰ（ロシア史研究）,斎藤 祥平,准教授,2,選択,博士後期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222E601.html
地域研究演習Ⅰ（中国研究）,飯島 典子,准教授,2,選択,博士前期または後期,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222B501.html
地域研究演習Ⅰ（日本政治外交論）,武田 悠,准教授,2,選択,博士後期課程,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222F101.html
地域研究演習Ⅰ（日本文化史）,山口 えり,准教授,2,選択,博士後期課程１年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222F501.html
地域研究演習Ⅰ（日本社会）,ヴェール ウルリケ,教授,2,選択,博士後期 1年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52224901.html
地域研究演習Ⅰ（東ヨーロッパ研究）,大庭 千恵子,教授,2,選択,博士後期課程 1年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52228501.html
地域研究演習Ⅰ（東南アジア研究）,板谷 大世,准教授,2,選択,博士後期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52228101.html
地域研究演習Ⅱ（American Literature and Culture）,ゴーマン マイケル,教授,2,選択, ,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222D401.html
地域研究演習Ⅱ（アフリカ社会）,田川 玄,教授,2,選択,後期課程で担当教員を指導教員とする者、研究テーマが直接的に関係する者,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222C101.html
地域研究演習Ⅱ（フランスの文学と文化）,大場 静枝,教授,2,選択,博士後期課程１、２、３年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222E301.html
地域研究演習Ⅱ（ロシア史研究）,斎藤 祥平,准教授,2,選択,博士後期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222E701.html
地域研究演習Ⅱ（中国研究）,飯島 典子,准教授,2,選択,博士前期または後期,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222B601.html
地域研究演習Ⅱ（日本政治外交論）,武田 悠,准教授,2,選択,博士後期課程,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222F201.html
地域研究演習Ⅱ（日本文化史）,山口 えり,准教授,2,選択,博士後期課程１年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222F601.html
地域研究演習Ⅱ（日本社会）,ヴェール ウルリケ,教授,2,選択,博士後期 1年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52225001.html
地域研究演習Ⅱ（東ヨーロッパ研究）,大庭 千恵子,教授,2,選択,博士後期課程 1年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52228601.html
地域研究演習Ⅱ（東南アジア研究）,板谷 大世,准教授,2,選択,博士後期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52228201.html
地域研究演習Ⅲ（American Literature and Culture）,ゴーマン マイケル,教授,2,選択, ,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222D501.html
地域研究演習Ⅲ（アフリカ社会）,田川 玄,教授,2,選択,博士後期課程 ２年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222C201.html
地域研究演習Ⅲ（フランスの文学と文化）,大場 静枝,教授,2,選択,博士後期課程１、２、３年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222E401.html
地域研究演習Ⅲ（ロシア史研究）,斎藤 祥平,准教授,2,選択,博士後期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222E801.html
地域研究演習Ⅲ（中国研究）,飯島 典子,准教授,2,選択,博士前期または後期,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222B701.html
地域研究演習Ⅲ（日本政治外交論）,武田 悠,准教授,2,選択,博士後期課程,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222F301.html
地域研究演習Ⅲ（日本文化史）,山口 えり,准教授,2,選択,博士後期課程２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222F701.html
地域研究演習Ⅲ（日本社会）,ヴェール ウルリケ,教授,2,選択,博士後期 2年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52225101.html
地域研究演習Ⅲ（東ヨーロッパ研究）,大庭 千恵子,教授,2,選択,博士後期課程 2年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52228701.html
地域研究演習Ⅲ（東南アジア研究）,板谷 大世,准教授,2,選択,博士後期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52228301.html
地域研究演習Ⅳ（American Literature and Culture）,ゴーマン マイケル,教授,2,選択, ,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222D601.html
地域研究演習Ⅳ（アフリカ社会）,田川 玄,教授,2,選択,博士後期課程 ２年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222C301.html
地域研究演習Ⅳ（フランスの文学と文化）,大場 静枝,教授,2,選択,博士後期課程１、２、３年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222E501.html
地域研究演習Ⅳ（ロシア史研究）,斎藤 祥平,准教授,2,選択,博士後期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222E901.html
地域研究演習Ⅳ（中国研究）,飯島 典子,准教授,2,選択,博士前期または後期,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222B801.html
地域研究演習Ⅳ（日本政治外交論）,武田 悠,准教授,2,選択,博士後期課程,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222F401.html
地域研究演習Ⅳ（日本文化史）,山口 えり,准教授,2,選択,博士後期課程２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_5222F801.html
地域研究演習Ⅳ（日本社会）,ヴェール ウルリケ,教授,2,選択,博士後期 2年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52225201.html
地域研究演習Ⅳ（東ヨーロッパ研究）,大庭 千恵子,教授,2,選択,博士後期課程 2年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52228801.html
地域研究演習Ⅳ（東南アジア研究）,板谷 大世,准教授,2,選択,博士後期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_52228401.html
地域課題演習,渡辺 智恵,教授,1,選択,１・２年次,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00180701.html
地方自治と平和,河上 暁弘,教授,2,選択, 博士前期課程１・２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_81110601.html
地方自治論,河上 暁弘,教授,2,選択,２・３・４年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114D4901.html
基本統計学Ⅰ,山根 史博,准教授,2,選択,1年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114D0701.html
基本統計学Ⅱ－ⅰ,山根 史博,准教授,1,選択,2年次以上,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114D4001.html
基本統計学Ⅱ－ⅱ,山根 史博,准教授,1,選択,2年次以上,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114D4101.html
基礎化学,鷹野 優,教授,2,選択,１年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00130601.html
基礎演習,その他 教員,助教,1,必須,国際学部1年生,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_103K0499.html
基礎物理学,八方 直久,准教授,2,選択,１年次以上,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_001304BD.html
基礎生物学,香田 次郎,講師,2,選択,１・２年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00131101.html
外書講読演習Ⅰ,小野 貴彦,教授,1,必須,3年次,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28431601.html
外書講読演習Ⅱ,小野 貴彦,教授,1,必須,3年次,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_28432401.html
多国籍企業論Ⅰ,アリフ アザム ヌルハイザル,准教授,2,選択,２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114E0801.html
多国籍企業論Ⅰ,アリフ アザム ヌルハイザル,准教授,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51330301.html
多国籍企業論Ⅱ,アリフ アザム ヌルハイザル,准教授,2,選択,２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114E0901.html
多国籍企業論Ⅱ,アリフ アザム ヌルハイザル,准教授,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51330401.html
多文化共生入門,田川 玄,教授,2,選択,1年次生,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_114A0101.html
学外演習,石黒 賢一郎,准教授,2,必須,２年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31330701.html
学校インターンシップ,卜部 匡司,教授,2,選択,２年次以上,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00413301.html
学校インターンシップ,卜部 匡司,教授,2,選択,２年次以上（2023年度入学生まで）※2024年度以降入学生は資格取得関係科目として開講,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_113I0601.html
学習システム特論,岩根 典之,准教授,2,選択,1，2年,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_67410601.html
学術研究のための基礎統計,山根 史博,准教授,2,選択,博士前期課程１、２年生,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51110201.html
学術研究の進め方,山﨑 雅夫,講師,2,選択,博士前期課程１，２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51110101.html
学部派遣海外インターンシップ,大庭 千恵子,教授,2,選択,2年次以上,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_113l1901.html
実材制作基礎演習（工芸制作を含む。）,伊東 敏光,教授,4,必須,美術学科彫刻専攻1年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31342801.html
実材制作実習Ⅰ,伊東 敏光,教授,2,必須,美術学科彫刻専攻2年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31341801.html
実材制作実習Ⅱ,田中 圭介,准教授,2,必須,美術学科彫刻専攻3年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_31343201.html
実社会指向基礎数学,その他 教員,助教,2,必須,1年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20414299.html
実践的AI技術,原 章,教授,2,選択,2年次以上,前期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20421601.html
実践的ICT活用事例,永山 忍,教授,2,選択,2年生,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20421701.html
対照言語学Ⅰ,藤原 優美,講師,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51350501.html
対照言語学Ⅱ,藤原 優美,講師,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51350601.html
専門演習Ⅰ,石松 紀子,准教授,3,選択,特別聴講学生（海外学術交流協定校からの派遣学生）,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30316801.html
専門演習Ⅱ,石松 紀子,准教授,3,選択,特別聴講学生（海外学術交流協定校からの派遣学生）,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30316901.html
専門演習Ⅲ,石松 紀子,准教授,3,選択,特別聴講学生（海外学術交流協定校からの派遣学生）,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30317001.html
専門演習Ⅳ,石松 紀子,准教授,3,選択,特別聴講学生（海外学術交流協定校からの派遣学生）,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30317101.html
専門語学演習（英語）Ａ,石松 紀子,准教授,1,必須,１年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_70230201.html
専門語学演習（英語）Ｂ,石松 紀子,准教授,1,選択,１年次,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_70111701.html
工芸制作Ⅰ(演習）,粟根 仁志,非常勤講師,2,選択,２年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30314201.html
工芸制作Ⅱ(演習）,原紺 絢子,非常勤講師,2,選択,２年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30314301.html
工芸制作Ａ（演習）,粟根 仁志,非常勤講師,2,選択,２年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30316201.html
工芸制作Ｂ（演習）,原紺 絢子,非常勤講師,2,選択,２年次,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30316301.html
工芸材料概説,野田 睦美,准教授,2,選択,芸術学部２年次,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30311401.html
工芸概論,清水 愛子,非常勤講師,2,選択,１年,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_30314501.html
常微分方程式,小野 貴彦,教授,2,選択,２年次,前期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_20460199.html
平和と人権Ａ（ヒロシマと国際平和）,永井 均,教授,2,選択,１・２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00180201.html
平和と人権Ｂ（現代世界と人権）,吉田 晴彦,教授,2,選択,１年,後期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_00180301.html
平和インターンシップ,大芝 亮,教授,1,選択,修士課程１・２年生,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_81510101.html
平和学,石田 淳,非常勤講師,2,選択,修士課程１・２年（それ以外は要相談）,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_81110101.html
平和学概論,吉田 晴彦,教授,2,選択,博士前期課程１、２年,前期授業,有, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_51410101.html
平和学特殊演習I,その他 教員,助教,1,必須,2019～2021年度に入学した者,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_81410199.html
平和学特殊演習Ⅰ,大芝 亮,教授,2,必須,2022年度（以降）入学者,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101A0.html
平和学特殊演習Ⅰ,沖村 理史,教授,2,必須,博士前期課程１年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101A1.html
平和学特殊演習Ⅰ,梅原 季哉,教授,2,必須,博士前期課程（通常は1年生）,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101A2.html
平和学特殊演習Ⅰ,佐藤 哲夫,教授,2,必須,博士前期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101A4.html
平和学特殊演習Ⅰ,ロバート ジェイコブズ,教授,2,必須,Master's Students,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101A5.html
平和学特殊演習Ⅰ,永井 均,教授,2,必須,博士前期課程1年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101A6.html
平和学特殊演習Ⅰ,四條 知恵,准教授,2,必須,博士前期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101A8.html
平和学特殊演習Ⅰ,河上 暁弘,教授,2,必須,博士後期課程1・2・3年生,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101A9.html
平和学特殊演習Ⅰ,竹本 真希子,准教授,2,必須,博士前期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101B0.html
平和学特殊演習Ⅰ,孫 賢鎮,准教授,2,必須, ,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101B1.html
平和学特殊演習Ⅰ,徐 顕芬,准教授,2,必須,博士前期課程１年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101B2.html
平和学特殊演習Ⅰ,加藤 美保子,講師,2,必須,博士前期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814101B3.html
平和学特殊演習Ⅱ,その他 教員,助教,1,必須,2019～2021年度までの入学者,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_81410299.html
平和学特殊演習Ⅱ,大芝 亮,教授,2,必須,2022年度（以降）入学者。,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102A0.html
平和学特殊演習Ⅱ,沖村 理史,教授,2,必須,博士前期課程１年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102A1.html
平和学特殊演習Ⅱ,梅原 季哉,教授,2,必須,博士前期課程（通常は1年生）,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102A2.html
平和学特殊演習Ⅱ,佐藤 哲夫,教授,2,必須,博士前期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102A4.html
平和学特殊演習Ⅱ,ロバート ジェイコブズ,教授,2,必須,Master's Students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102A5.html
平和学特殊演習Ⅱ,永井 均,教授,2,必須,博士前期課程1年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102A6.html
平和学特殊演習Ⅱ,四條 知恵,准教授,2,必須,博士前期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102A8.html
平和学特殊演習Ⅱ,河上 暁弘,教授,2,必須,博士後期課程1・2・3年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102A9.html
平和学特殊演習Ⅱ,竹本 真希子,准教授,2,必須,博士前期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102B0.html
平和学特殊演習Ⅱ,孫 賢鎮,准教授,2,必須, ,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102B1.html
平和学特殊演習Ⅱ,徐 顕芬,准教授,2,必須,博士前期課程１年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102B2.html
平和学特殊演習Ⅱ,加藤 美保子,講師,2,必須,博士前期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814102B3.html
平和学特殊演習Ⅲ,その他 教員,助教,1,必須,2019～2021年度入学者。,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_81410399.html
平和学特殊演習Ⅲ,大芝 亮,教授,2,必須,2022年度（以降）入学者で、修士2年目,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103A0.html
平和学特殊演習Ⅲ,沖村 理史,教授,2,必須,博士前期課程２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103A1.html
平和学特殊演習Ⅲ,梅原 季哉,教授,2,必須,博士前期課程（通常は2年生）,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103A2.html
平和学特殊演習Ⅲ,佐藤 哲夫,教授,2,必須,博士前期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103A4.html
平和学特殊演習Ⅲ,ロバート ジェイコブズ,教授,2,必須,Master's students,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103A5.html
平和学特殊演習Ⅲ,永井 均,教授,2,必須,博士前期課程2年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103A6.html
平和学特殊演習Ⅲ,四條 知恵,准教授,2,必須,博士前期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103A8.html
平和学特殊演習Ⅲ,河上 暁弘,教授,2,必須,2・3年（特殊演習Ⅰ・Ⅱの履修後に履修する科目である）,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103A9.html
平和学特殊演習Ⅲ,竹本 真希子,准教授,2,必須,博士前期課程,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103B0.html
平和学特殊演習Ⅲ,孫 賢鎮,准教授,2,必須, ,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103B1.html
平和学特殊演習Ⅲ,徐 顕芬,准教授,2,必須,博士前期課程２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103B2.html
平和学特殊演習Ⅲ,加藤 美保子,講師,2,必須,博士前期課程2年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814103B3.html
平和学特殊演習Ⅳ,その他 教員,助教,1,必須,修士課程１・２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_81410499.html
平和学特殊演習Ⅳ,大芝 亮,教授,2,必須,2022年度（以降）入学した修士2年生,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104A0.html
平和学特殊演習Ⅳ,沖村 理史,教授,2,必須,博士前期課程２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104A1.html
平和学特殊演習Ⅳ,梅原 季哉,教授,2,必須,博士前期課程（通常は2年生）,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104A2.html
平和学特殊演習Ⅳ,佐藤 哲夫,教授,2,必須,博士前期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104A4.html
平和学特殊演習Ⅳ,ロバート ジェイコブズ,教授,2,必須,Master's students,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104A5.html
平和学特殊演習Ⅳ,永井 均,教授,2,必須,博士前期課程2年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104A6.html
平和学特殊演習Ⅳ,四條 知恵,准教授,2,必須,博士前期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104A8.html
平和学特殊演習Ⅳ,河上 暁弘,教授,2,必須,博士後期課程2・3年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104A9.html
平和学特殊演習Ⅳ,竹本 真希子,准教授,2,必須,博士前期課程,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104B0.html
平和学特殊演習Ⅳ,孫 賢鎮,准教授,2,必須, ,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104B1.html
平和学特殊演習Ⅳ,徐 顕芬,准教授,2,必須,博士前期課程２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104B2.html
平和学特殊演習Ⅳ,加藤 美保子,講師,2,必須,博士前期課程2年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_814104B3.html
平和学研究演習Ⅰ,大芝 亮,教授,2,必須,博士後期課程1年目,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_82210101.html
平和学研究演習Ⅰ,沖村 理史,教授,2,必須,博士後期課程１年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2024_82210102.html
